Indicator,Total number of resources listed on NHRP
Unit,Number of listed resources
Year,Total number of resources listed on NHRP
1970,1
1971,2
1972,4
1973,6
1974,6
1975,7
1976,7
1977,7
1978,7
1979,13
1980,13
1981,13
1982,13
1983,13
1984,16
1985,16
1986,16
1987,16
1988,16
1989,17
1990,18
1991,18
1992,20
1993,20
1994,22
1995,22
1996,23
1997,23
1998,23
1999,24
2000,24
2001,25
2002,26
2003,26
2004,26
2005,26
2006,35
2007,35
2008,35
2009,35
2010,35
2011,38
2012,39
2013,39
2014,39
2015,39
2016,39
2017,39
2018,39
2019,39
