Year,Average Coral Species Richness Within Zones,Average Coral Species Richness Outside Zones
1996,15.66666667,14.53125
1997,16.66666667,14.5
1998,15.875,14.515625
1999,14.52083333,12.953125
2000,14.875,13.703125
2001,14.58208955,13.90909091
2002,14.70769231,14.425
2003,13.64615385,14.175
2004,13.33846154,13.75
2005,14.10769231,14.425
2006,11.96923077,13.42105263
2007,13.33846154,14.31578947
2008,13.36923077,13.91666667
2009,13.69230769,15.93181818
2010,13.16923077,14.70454545
2011,10.30434783,11.41071429
2012,10.83695652,11.66071429
2013,10.35869565,11.85714286
2014,10.51086957,11.54411765
2015,10.29347826,11.23529412
2016,10.26086957,11.35294118
2017,9.483516484,11.56451613
