Data from Florida Highway Safety and Motor Vehicles,,,
Year,Recreational,Commercial,Total
2000,23340,3207,26690
2001,25669,3303,29204
2002,26225,3168,29607
2003,26422,3124,29734
2004,26283,3042,29500
2005,26874,2921,29990
2006,26406,2786,29392
2007,25370,2653,28235
2008,26897,2896,29988
2009,23695,2479,26330
2010,23574,2481,26181
2011,23648,2453,26252
2012,23863,2453,26461
2013,24422,2515,27100
2014,24695,2649,27522
2015,25373,2700,28247
2016,26233,2699,29106
2017,26467,2718,29377
2018,26166,2673,29037
